name,rating,reviews,industry,location
L&T Technology Services,3.0,(6.6k),IT Services & Consulting,Bengaluru +95 other locations
FIS,3.8,(6.6k),FinTech,Pune +60 other locations
Oracle,3.3,(6.6k),Software Product,Bengaluru +56 other locations
Omega Healthcare,3.8,(6.5k),BPO,Chennai +70 other locations
JLL,4.1,(6.5k),Real Estate,Gurugram +87 other locations
Muthoot Finance,3.7,(6.4k),NBFC,Bengaluru +796 other locations
IIFL Finance,4.0,(6.4k),NBFC,Mumbai +814 other locations
eClerx,3.1,(6.4k),IT Services & Consulting,Pune +32 other locations
Indian Army,4.7,(6.3k),Defence & Aerospace,New Delhi +363 other locations
Piramal Finance,4.2,(6.2k),NBFC,Mumbai +434 other locations
DMart,3.9,(6.2k),Retail,Mumbai +255 other locations
PolicyBazaar,3.7,(6.2k),Internet,Gurugram +158 other locations
Virtusa Consulting Services,3.7,(6.2k),IT Services & Consulting,Hyderabad +55 other locations
HSBC Group,3.8,(6.1k),Financial Services,Bengaluru +63 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations
Indiamart Intermesh,3.5,(6k),Internet,Noida +169 other locations
SMFG India Credit,3.9,(6k),NBFC,Mumbai +607 other locations
Access Healthcare,3.7,(6k),BPO,Chennai +62 other locations
BigBasket,3.9,(5.9k),Internet,Bengaluru +144 other locations
Siemens,4.0,(5.9k),Industrial Automation,Bengaluru +156 other locations
ICICI Lombard General Insurance Company,3.5,(5.8k),Insurance,Mumbai +321 other locations
Manappuram Finance,3.9,(5.8k),NBFC,Bengaluru +661 other locations
GlobalLogic,3.5,(5.8k),IT Services & Consulting,Hyderabad +62 other locations
Firstsource Solutions,3.5,(5.8k),BPO,Bengaluru +73 other locations
Aurobindo Pharma,4.0,(5.8k),Pharma,Hyderabad +115 other locations
Tata Capital,3.9,(5.8k),NBFC,Mumbai +454 other locations
Shapoorji Pallonji Group,4.1,(5.8k),Engineering & Construction,Mumbai +190 other locations
UST,3.7,(5.7k),IT Services & Consulting,Bengaluru +52 other locations
Standard Chartered,3.6,(5.7k),Banking,Chennai +69 other locations
Udaan,3.9,(5.7k),Internet,Bengaluru +366 other locations
Apollo Hospitals,4.0,(5.7k),Healthcare,Chennai +226 other locations
